,tweet,asal_tweet
163,Apak ah kedah trending🙂 aku harap la kita boleh lawan covid amin🤲,atas awan
164,@kaur_02 Humari baat kam hoti Hain abb - wo India ch fass gyi COVID krke 😭😂,Cloud 9
165,ga kebayang long weekend gni klo gada covid ramenya kayak apaan ni jogja,"Yogyakarta, Indonesia"
166,"Kangen banget ngopi di luar sendiri sambil baca, apa daya lagi covid, hafft","Eastern, Kingdom of Saudi Arab"
167,"Jim Boylen sama Alvin Gentry, kena PHK pas lagi covid-19 gini, besok jadi buzzer endonesa butuh kerja juga nih.",
168,@ThaCleanerNL Foto 3 wat covid??? https://t.co/6Y6MGcVRXw,
169,"maba sekarang byk bacot nya ya, gatau aja dulu gimana berat nya masuk ptn gimana.

y'all thanks to covid","Kota Medan, Sumatera Utara"
170,@BaharuddinIlham Tiwas tratapan cuk lha tentara ne mau nganggo sleyer satgas covid-19 e wkwkw 🤣,Kabupaten Italy
171,"Bingung lah, gatau lagi mo bilang apa kalau udh bahas covid di medan ini, bingung binguuung

#ExaARMY #ExaBFF @BTS_twt",
172,"Libur panjang ala anak kosan di versi covid 😭, https://t.co/B9aexY93GR",sama-rinda / je-mber 
173,@UnvalidP Semoga covid segera musnahhhh 🙏,Indonesia
174,@_ranggadi Ora covid tur geger otak.,"Yogyakarta, Indonesia"
175,"@p_radana @kodimbardo1 @jokowi Vaksin tuh bukan buat org yg kna pnyakit pk, tapi buat yg sehat dan blom kna covid",somewhere deep in the jungle
176,"@IDNLawanCovid Adaptasi Kebiasaan Baru untuk Cegah Covid-19 min 

#NewNormal #DukungRUUBPIP #IndonesiaMaju",
177,Bar iki Mbantul ono cluster covid-19 ndangdutan 🤣,"Yogyakarta, Indonesia"
178,@walunnel dia malah kabur apa ga takut covid..,
179,"@aMrazing $dyrendra koh, mayan buat bantu spp adek gue yg ga ada potongan karena covid wkkw",Bandar Lampung
180,"@IDNLawanCovid Ayo kita Patuhi Protokol Kesehatan Cegah Penyebaran Covid-19 

#PapuaMaju #DukungRUUBPIP #IndonesiaMaju",
181,@tahukrenyess @woylahhh Gegara ada yg kena covid ituuu staff nya ih,
182,"Nak tidoq.  Kejut aku bila covid dah laqi dari kedah , bye !",
183,@staywithskz klo covid udh menurun yaa,district9
184,Covid ini bikin craving tengah malam terhambat. Soalnya banyak yang tutup :(,"Kota Surabaya, Jawa Timur"
185,"@aniesbaswedan Ga mending ngurusin covid aja bro, daripada ngurusin instajram? wokwokwok...",
186,"Dalam keadaan pandemi covid-19, perusahaan melakukan kebijakan lockdown agar dapat mengantisipasi penyebaran covid di lingkungan kerja","Bantaeng, Indonesia"
187,@MbalulaFikile Asinama Krwala yile Covid sicela ubuyele ezi Bhatyini... https://t.co/EErF8moenC,
188,@LisaAmartatara3 Iya mlompat pager.  Setiap ada pembagian sembako dmn mana berjubel org sdh tk peduli lg covid krn urusan ekonomi lbh nyata,
189,@yaudahmaapp Udah lama nggak donor gara gara covid :(,"Eastern, Kingdom of Saudi Arab"
190,Rasa risau &amp; takut pulak nak balik Kedah tgk anak &amp; wife. Yelah kes Covid-19 makin mencanak kat sana. Haishh,kamunting
191,"Berikut perkembangan Covid-19 di Indonesia tanggal 15 Agustus 2020, pukul 16.00 WIB. via @infoppkk 

https://t.co/tXhliWpFvg","ÜT: -6.187385,106.733011"
192,"@afeeq_hisham Jauh tu. covid byk sana. So bgi alasan kat dia, “COVID-19”😂","Kuala Terengganu, Terengganu"
193,"Biar Begini Saya Tetap Pakai Masker Karena Covid-19 Tidak Mengenal Siapa. 

@polda_sulsel @rsbhayangkaramakassar https://t.co/5XdVsJfqvk","Bulukumba, Sulawesi Selatan"
194,@TweetSrip_ nyebarin covid lewat listrik,
195,@banjarbase sama aku uyuh jua km..  setengah tahun sdh kada kawa bejalanan gegara covid 😢,"Kalimantan Selatan, Indonesia"
196,@manaadayangtau Oh face shield? Td ada yg blg kl kereta masi pake surat covid,ur mind
197,"Tidak semua yang positif ternyata baik, misalnya positif covid? 😂😂😂 *ngakakparah",
198,@jkfairy_ Serem ni bisa jadi klaster baru covid 😭,Your future dietitian
199,"@ONCOMBNDUNG Buat yang pemikiran nya masih kaya caption diatas ngotak dong, anak anak tuh rentan kena covid-19 makanya sekolah online",
200,Baru nak pegi kenduri kawan dh plak Ada covid balik hmmm😭,Malaysia
201,@rlthingy Daerah Pasien covid trbnyk ke 2,masi🐴
202,"Saran untuk membuka data pasien Covid-19 di DIY, Sultan Hamengkubuwana X sebut hal itu dilarang oleh Undang-Undang yang berlaku.","Yogyakarta, Indonesia"
203,"@jumintenkoplak Amiinn, baru kehilangan rumah tahun ini gegara covid, mdh2an tahun dpan bisa kebeli lagi..",Depok
204,@Bbhtrawbery dia ngilang mau menyerap covid biar ikut ngilang bareng dia 😁,
205,I saving byk sbb covid hope so 😁,"Kuala Lumpur City, Kuala Lumpur Federal Territory"
206,@bdngfess Ikut pertemuan student exchange dari univ luar indo tapi covid yaudahdeh,
207,"@kompascom Suntik vaksin Covid-19 atau disuntik beras kencur? Wwkk,, lebih sehat 😂😂 Bapakau mandi di Blackhole",
208,"@Axlfox_ biasa aja mo keluarpun juga dimarahin mama katanya ""noh covid masih banyak :))""",Rembang penuh kenangan
209,@ArizQamal Bukan sebab tu. Tapi sebab Covid.,"Petaling Jaya, Selangor"
210,@febyftrynti Iya peb dapet diskon covid hehe tunggu aku disana yaaaa wkwkwk,"Bandung, Indonesia"
211,"#sahabattangguh berikut infografis Kasus Covid-19 di Kabupaten Kudus,  Sabtu tanggal 15 Agustus 2020 pukul 22.00 WIB https://t.co/Rwuy55MSOr","Kudus, Indonesia"
212,xyahla forward ws covid tu dh la scam,Subscribe my channel
213,"Semoga ibu abah selamat pergi sekolah, sekarang banyak kes sekolah kena covid....ya Allah risau nya 😞",
214,"Tak berani nk book majlis 1000pax sbb covid takut covid teruk nanti I xdpt duit depo balik, so I proceed dgn majlis simple2 je 😚","Kuala Lumpur City, Kuala Lumpur Federal Territory"
215,Ya allah. Bersin2. Tenggorokan sakit. Terus badan rasanya ngga enak banget. Semoga ngga covid😭,
216,"Itu gpp ya, ngadain acara gede ngumpulin banyak orang? How to make sure protokol covid-19 berjalan? Nanya nih, beneran.",Across The Universe
217,WAG Satgas Covid ini bikin puyeng bacanya,
218,"Idk , why , kedah dah teruk dengan covid ni , risau pasal family , dah lama tak balik .","Kedah, Malaysia"
219,"Kemaren si bapak ngajakin ke acara orang meninggal, ih takut euy, covid dimana mana, kan ga boleh berkerumun

#ExaARMY #ExaBFF @BTS_twt",
220,"@ganjarpranowo Sederhana pakk,
Cukup Covid 19 hempass sajaa, aamiin ya Rabb
#JatengPeduliSesama","Magelang, Jawa Tengah"
221,"@lusinihhh Kalau covid nya selesai, ayookk main kesini🤗
Gihh Salat Tahajud aja biar enakan 🥰","Kupang, East Nusa Tenggara "
222,@nomersepuluh @memefess bikin hoax kesebelasan barca positif covid,Pekanbaru
223,@khairil0760 Naitu Om.. masih tutup primary doctornya 😄 payah deh.. mau ke hospital nanti ketular covid.. serem,Golden State
224,@MnemosynePsyche hassle sis hajkhkegakjehgae asan si covid 19 awayin ko yan,South
225,@budihartobong Ini sebelum Covid atau skr Ko?,"Toba Samosir, Sumatera Utara"
226,Dhoni has announced his retirement Itna dukh tho covid ne 6 mahine mein nahi diya jitna ek second mein Dhoni ne de diya.,"Mumbai, India"
227,@pinksblackpink tapi masalahnya gabisa kirim ke indo grgr covid,Worldwide
228,@MaharanicitraR Ayok tunuggu covid ilangg dulu😭,Indo
229,Ayam kampung gak bisa pulang kampung karena covid 19 fak covid selamanya.,Anu
230,"Hrtu pon kat bahau positive covid indonesian. Ni ad kes baru plak kt rokan indon jgak, mana la depa p ni",Dunia
231,"Wujud ke Gegar Vagina tahun ni? Tanya je sebab ada COVID-19 segala ni.

CC: @fishsalleh","Chukai, Trengganu"
232,"yang nafkahin anaknya meninggalin karena covid, yang depresi dan gaguna kek aku gs mati mati","Happisburgh Common, England"
233,"Berkah covid stau ini he
2020 tahunnya org menikah🙂 https://t.co/EFoL2ZLBRN",
234,cepatlah covid ni semua settle hmm jadual pegi china dah 2 kali miss ni,anfield
235,@Khaii666 masih covid a msih takut balik hehe,sesuai titik. 
236,malam malam takyah la repost hantu bodoh. aku doakan kau kena covid kang.,
237,Bila baca pasal vaccine production untuk covid ni teringat kat Krippin virus........................ Seram,
238,"@onedfess Karna lagi covid, dirumah aja bersama niall wkwkw",Indonesia
239,"Kenapa dp and header semua orang ada bendera Malaysia, hm covid still ada macam mana nak merdeka 😭😂",
240,Waspada Hoaks Data Covid - 19 https://t.co/M77zw7tyiN,
241,@tayrianalia_ aaa jd gmn? dimarahin krn lg covid gni?,𝐃𝐀𝐍𝐆𝐄𝐑𝐎𝐔𝐒𝐍𝐀𝐓𝐈𝐎𝐍
242,@nurfebriardilla ada. kasus covid positif :(,Indonesia
243,"@djaycoholyc Tetangga gw klo weekend jg pergi liburan, dan pamer foto2 di tempat wisata... Seperti kaga ada Covid 19 ajah... 😷","DKI Jakarta, Indonesia"
244,@telorkhucenk @pawguci Ngapain heh msh covid gini malah ke redzone😭,
245,@syncraticst Ih mood mba nya kaya korban covid aja naik turun wkwkwkw,
246,"@Dennysiregar7 Laboratorium COVID yang kasat mata itu mana pak? oia lupa, namanya juga kasat mata ya pak 🤣🤣🤣🤣 @aniesbaswedan",Indonesia
247,"@twitpos Kombinasi obat apa..ya Min? Padahal kalau manjur bisa diajukan ke WHO...bukan hanya BPOM saja, agar dunia bebas dari covid 19","Bandung, Indonesia"
248,"@nadjanameera Murah amet ah 100rb, gegara covid kalik ini, aslinya mah jutaan wkwkw",
